dataset,label_column,setting,seed,window_size,window_stride,requested_states,auto_states,min_state_improvement,n_windows,true_state_count,inferred_state_count,adjusted_rand,aligned_accuracy,mean_label_purity,true_label_counts,inferred_state_counts,state_mapping
AReMActivities,activity,loose_auto_k4_w120,1,120,60,4,True,0.0,492,6,4,0.25412857504699354,0.4796747967479675,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:90;1:53;2:152;3:197,"{""0"": ""lying"", ""1"": ""bending2"", ""2"": ""cycling"", ""3"": ""sitting""}"
AReMActivities,activity,forced_k4_w120,1,120,60,4,False,0.0,492,6,4,0.25412857504699354,0.4796747967479675,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:90;1:53;2:152;3:197,"{""0"": ""lying"", ""1"": ""bending2"", ""2"": ""cycling"", ""3"": ""sitting""}"
AReMActivities,activity,loose_auto_k2_w300,1,300,150,2,True,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:146;1:51,"{""0"": ""sitting"", ""1"": ""cycling""}"
AReMActivities,activity,forced_k2_w300,1,300,150,2,False,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:146;1:51,"{""0"": ""sitting"", ""1"": ""cycling""}"
AReMActivities,activity,loose_auto_k3_w300,1,300,150,3,True,0.0,197,6,3,0.27346136126125115,0.5076142131979695,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:50;1:28;2:119,"{""0"": ""cycling"", ""1"": ""lying"", ""2"": ""sitting""}"
AReMActivities,activity,forced_k3_w300,1,300,150,3,False,0.0,197,6,3,0.27346136126125115,0.5076142131979695,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:50;1:28;2:119,"{""0"": ""cycling"", ""1"": ""lying"", ""2"": ""sitting""}"
AReMActivities,activity,loose_auto_k4_w300,1,300,150,4,True,0.0,197,6,4,0.30008994079402107,0.5126903553299492,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:108;1:33;2:50;3:6,"{""0"": ""sitting"", ""1"": ""bending2"", ""2"": ""cycling"", ""3"": ""lying""}"
AReMActivities,activity,forced_k4_w300,1,300,150,4,False,0.0,197,6,4,0.30008994079402107,0.5126903553299492,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:108;1:33;2:50;3:6,"{""0"": ""sitting"", ""1"": ""bending2"", ""2"": ""cycling"", ""3"": ""lying""}"
AReMActivities,activity,default_auto_k2_w300,2,300,150,2,True,0.12,197,6,1,0.0,0.2436548223350254,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:197,"{""0"": ""cycling""}"
AReMActivities,activity,loose_auto_k2_w120,2,120,60,2,True,0.0,492,6,2,0.2075990334783887,0.4573170731707317,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:316;1:176,"{""0"": ""lying"", ""1"": ""cycling""}"
AReMActivities,activity,forced_k2_w120,2,120,60,2,False,0.0,492,6,2,0.2075990334783887,0.4573170731707317,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:316;1:176,"{""0"": ""lying"", ""1"": ""cycling""}"
AReMActivities,activity,loose_auto_k3_w120,2,120,60,3,True,0.0,492,6,3,0.26201761578199634,0.5223577235772358,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:212;1:121;2:159,"{""0"": ""sitting"", ""1"": ""lying"", ""2"": ""cycling""}"
AReMActivities,activity,forced_k3_w120,2,120,60,3,False,0.0,492,6,3,0.26201761578199634,0.5223577235772358,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:212;1:121;2:159,"{""0"": ""sitting"", ""1"": ""lying"", ""2"": ""cycling""}"
AReMActivities,activity,loose_auto_k4_w120,2,120,60,4,True,0.0,492,6,4,0.2689274014444734,0.46747967479674796,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:93;1:64;2:141;3:194,"{""0"": ""bending1"", ""1"": ""lying"", ""2"": ""cycling"", ""3"": ""sitting""}"
AReMActivities,activity,forced_k4_w120,2,120,60,4,False,0.0,492,6,4,0.2689274014444734,0.46747967479674796,0.9949186991869918,bending1:56;bending2:48;cycling:119;lying:120;sitting:120;standing:29,0:93;1:64;2:141;3:194,"{""0"": ""bending1"", ""1"": ""lying"", ""2"": ""cycling"", ""3"": ""sitting""}"
AReMActivities,activity,loose_auto_k2_w300,2,300,150,2,True,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:146;1:51,"{""0"": ""sitting"", ""1"": ""cycling""}"
AReMActivities,activity,forced_k2_w300,2,300,150,2,False,0.0,197,6,2,0.2505899802096966,0.4873096446700508,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:146;1:51,"{""0"": ""sitting"", ""1"": ""cycling""}"
AReMActivities,activity,loose_auto_k3_w300,2,300,150,3,True,0.0,197,6,3,0.286621340388273,0.5025380710659898,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:25;1:50;2:122,"{""0"": ""lying"", ""1"": ""cycling"", ""2"": ""sitting""}"
AReMActivities,activity,forced_k3_w300,2,300,150,3,False,0.0,197,6,3,0.286621340388273,0.5025380710659898,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:25;1:50;2:122,"{""0"": ""lying"", ""1"": ""cycling"", ""2"": ""sitting""}"
AReMActivities,activity,loose_auto_k4_w300,2,300,150,4,True,0.0,197,6,4,0.229366906552697,0.5126903553299492,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:32;1:32;2:114;3:19,"{""0"": ""lying"", ""1"": ""cycling"", ""2"": ""sitting"", ""3"": ""bending1""}"
AReMActivities,activity,forced_k4_w300,2,300,150,4,False,0.0,197,6,4,0.229366906552697,0.5126903553299492,0.9873096446700508,bending1:22;bending2:19;cycling:48;lying:48;sitting:48;standing:12,0:32;1:32;2:114;3:19,"{""0"": ""lying"", ""1"": ""cycling"", ""2"": ""sitting"", ""3"": ""bending1""}"
