method,n,edge_auc_mean,edge_auc_std,pair_auc_mean,pair_auc_std,precision_at_k_mean,precision_at_k_std,shd_mean,shd_std,lag_accuracy_mean,lag_accuracy_std
VAR-Lasso (global),20,0.7796054800254605,0.045712913498060476,0.8081863899031102,0.05204041528202781,0.6250966042394864,0.05189986447991404,40.8,6.879412459612644,0.7669897179898728,0.06236080229714208
DynVAR-Lasso (window max),20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
STCG-v1/no-state,20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
STCG-v1/state-only,20,0.8124606203901402,0.04738987254075569,0.8388527358051319,0.057537209787314456,0.6730614910064056,0.058644853398050485,35.5,6.517183763753046,0.8112649957628706,0.06186187917405102
STCG-v1/forced-states+contrast,20,0.8083956624973888,0.04726650017391286,0.8365936968179746,0.05653119644336699,0.665021165118201,0.05756290257771719,36.4,6.572670690061993,0.8025922409396022,0.06655923581363467
STCG-v1/state+contrast,20,0.8083956624973888,0.04726650017391286,0.8365936968179746,0.05653119644336699,0.665021165118201,0.05756290257771719,36.4,6.572670690061993,0.8025922409396022,0.06655923581363467
