dataset,setting,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_pass_rate,inferred_state_count_distribution,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,kmeans_improvement_mean,kmeans_improvement_std,temporal_coherence_mean,temporal_coherence_std,adjusted_rand_mean,adjusted_rand_std,aligned_accuracy_mean,aligned_accuracy_std,mean_label_purity_mean,mean_label_purity_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_dynvar_weighted_rmse,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_dynvar_weighted
UCIHARWindowSignals,auto_k2_min_0.00,Dense Ridge,5,30.0,,,,2,True,0.0,1.0,"{""2"": 5}",0.3228103533621915,0.0,0.6797916270352214,0.0,0.6287594191997212,0.0,0.914675771350242,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,0.0,0.0001365354345357339,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.00,Dense Ridge,5,100.0,,,,2,True,0.0,1.0,"{""2"": 5}",0.3248607761418505,0.0,0.6796550916006857,0.0,0.6293166483385894,0.0,0.9140601928068259,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,0.0,0.0,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
UCIHARWindowSignals,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.32137746963044955,0.0,0.6791994171717621,0.0,0.6285675260876834,0.0,0.9162524931997262,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.00045567442892358034,-0.00045567442892358034,0.0,False,False,False
UCIHARWindowSignals,auto_k2_min_0.00,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.32200876925449345,2.4400863155961375e-05,0.679319939388489,2.344084112542113e-05,0.6282586039933928,2.079941429739048e-05,0.9146111680295631,1.2184813296481557e-05,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.0004716876467324438,-0.0003351522121967099,0.0006495428815811444,False,False,False
UCIHARWindowSignals,auto_k2_min_0.00,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.3233112326963808,3.9166257077318754e-05,0.6789895452172192,2.9712963885794995e-05,0.6284561363569369,2.6651174319789587e-05,0.9143821317362291,2.9392738875826804e-05,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.0006655463834664976,-0.0006655463834664976,-0.0002098719545429173,False,False,False
UCIHARWindowSignals,auto_k2_min_0.04,Dense Ridge,5,30.0,,,,2,True,0.04,1.0,"{""2"": 5}",0.3228103533621915,0.0,0.6797916270352214,0.0,0.6287594191997212,0.0,0.914675771350242,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,0.0,0.0001365354345357339,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.04,Dense Ridge,5,100.0,,,,2,True,0.04,1.0,"{""2"": 5}",0.3248607761418505,0.0,0.6796550916006857,0.0,0.6293166483385894,0.0,0.9140601928068259,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,0.0,0.0,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.04,DynVAR-Lasso Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.32047097797356,0.0,0.6786703965069079,0.0,0.6276494479383902,0.0,0.9148400937660097,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.0011212305283135882,-0.0009846950937778542,0.0,True,False,False
UCIHARWindowSignals,auto_k2_min_0.04,DynVAR-Lasso Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.32137746963044955,0.0,0.6791994171717621,0.0,0.6285675260876834,0.0,0.9162524931997262,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.00045567442892358034,-0.00045567442892358034,0.0,False,False,False
UCIHARWindowSignals,auto_k2_min_0.04,STCG-v1 Weighted Ridge,5,30.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.32200876925449345,2.4400863155961375e-05,0.679319939388489,2.344084112542113e-05,0.6282586039933928,2.079941429739048e-05,0.9146111680295631,1.2184813296481557e-05,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.0004716876467324438,-0.0003351522121967099,0.0006495428815811444,False,False,False
UCIHARWindowSignals,auto_k2_min_0.04,STCG-v1 Weighted Ridge,5,100.0,0.01,4.0,1.0,2,True,0.04,1.0,"{""2"": 5}",0.3233112326963808,3.9166257077318754e-05,0.6789895452172192,2.9712963885794995e-05,0.6284561363569369,2.6651174319789587e-05,0.9143821317362291,2.9392738875826804e-05,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.08571706809704283,0.006364990461273741,0.35333333333333333,0.008425417160057277,0.4019444444444444,6.206335383118183e-17,-0.0006655463834664976,-0.0006655463834664976,-0.0002098719545429173,False,False,False
UCIHARWindowSignals,auto_k2_min_0.08,Dense Ridge,5,30.0,,,,2,True,0.08,0.0,"{""1"": 5}",0.3228103533621915,0.0,0.6797916270352214,0.0,0.6287594191997212,0.0,0.914675771350242,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,0.0,0.0001365354345357339,nan,False,False,False
UCIHARWindowSignals,auto_k2_min_0.08,Dense Ridge,5,100.0,,,,2,True,0.08,0.0,"{""1"": 5}",0.3248607761418505,0.0,0.6796550916006857,0.0,0.6293166483385894,0.0,0.9140601928068259,1.2412670766236366e-16,0.06669603915271934,0.00012497378906775627,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.4019444444444444,6.206335383118183e-17,0.0,0.0,nan,False,False,False
