axis,value,method,n,edge_auc_mean,edge_auc_std,pair_auc_mean,pair_auc_std,precision_at_k_mean,precision_at_k_std,shd_mean,shd_std,lag_accuracy_mean,lag_accuracy_std
edge_prob,0.1,DynVAR-Lasso,20,0.7871883047393149,0.04764635708981306,0.7865129964119748,0.0614953875192447,0.5567847707363194,0.0780237844598372,26.5,4.394973205115614,0.7318141812691522,0.0644940801390807
edge_prob,0.1,STCG-v1,20,0.8001796862351582,0.05696638246820923,0.7936698394922378,0.08035042207245466,0.5838219528251727,0.08522460180314664,25.0,5.563035899673184,0.7504646272368951,0.07394090627895503
edge_prob,0.1,VAR-Lasso,20,0.79100004329713,0.05939501676368836,0.7743974838050203,0.07731401647138417,0.531131639875038,0.07587674874017009,28.3,5.740896684041798,0.7250633021086589,0.08415643020909011
edge_prob,0.18,DynVAR-Lasso,20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
edge_prob,0.18,STCG-v1,20,0.8132802925212879,0.04724421251692514,0.8399726304032873,0.05640270139166802,0.6741484475281447,0.05843843477061532,35.4,6.588666505127534,0.8127801472780221,0.062408885638414804
edge_prob,0.18,VAR-Lasso,20,0.7796054800254605,0.045712913498060476,0.8081863899031102,0.05204041528202781,0.6250966042394864,0.05189986447991404,40.8,6.879412459612644,0.7669897179898728,0.06236080229714208
edge_prob,0.3,DynVAR-Lasso,20,0.7753771258515524,0.04085430131220942,0.8279654324459129,0.05702873978396761,0.7097274228850079,0.036286322828201774,49.9,6.820248490611189,0.8392755518639946,0.04175522369993625
edge_prob,0.3,STCG-v1,20,0.7932491749590839,0.048533239426668796,0.8443951431352481,0.057181710397839015,0.7223242265196739,0.04930487413353622,47.9,9.700244164045834,0.8561665607086282,0.04177521516906954
edge_prob,0.3,VAR-Lasso,20,0.7459050024461071,0.043566597892429094,0.7966727709261959,0.10638353495467272,0.6922769013220099,0.03647331195093388,52.8,5.890223836332985,0.8195400278589238,0.0558629567258341
edge_prob,0.45,DynVAR-Lasso,20,0.7264384938004986,0.036513318002910404,nan,nan,0.7755803620030854,0.026338557943685975,52.5,5.345928111041249,0.8841809483318916,0.03111859607808426
edge_prob,0.45,STCG-v1,20,0.7385502069317689,0.03488920997983999,nan,nan,0.7858598691756107,0.026685998626283652,50.1,5.562089724668522,0.8849208103217536,0.0341157283266283
edge_prob,0.45,VAR-Lasso,20,0.6952993662702511,0.03559566504185879,nan,nan,0.7629352258671223,0.031099338657627117,55.4,5.8435749692335275,0.8584307045156102,0.0368214695075793
obs_noise,0.0,DynVAR-Lasso,20,0.7981215401291505,0.04046714339425339,0.8296617812582345,0.05822868348922267,0.6456914249249437,0.0465488457214559,38.6,6.361065782927955,0.7969769544734653,0.05836434751696674
obs_noise,0.0,STCG-v1,20,0.8132802925212879,0.04724421251692514,0.8399726304032873,0.05640270139166802,0.6741484475281447,0.05843843477061532,35.4,6.588666505127534,0.8127801472780221,0.062408885638414804
obs_noise,0.0,VAR-Lasso,20,0.7796054800254605,0.045712913498060476,0.8081863899031102,0.05204041528202781,0.6250966042394864,0.05189986447991404,40.8,6.879412459612644,0.7669897179898728,0.06236080229714208
obs_noise,0.05,DynVAR-Lasso,20,0.7956298135084114,0.041954787375126874,0.8272869527465868,0.059285975835747344,0.6421136745552205,0.05046865233109535,39.0,6.821020142872595,0.7943074510211307,0.06256735316866609
obs_noise,0.05,STCG-v1,20,0.8126970683116721,0.04806488070824071,0.8390319741658232,0.05387798070222965,0.6733306693606602,0.06014691540863005,35.5,6.893933259720004,0.8106827492227117,0.06099363343099647
obs_noise,0.05,VAR-Lasso,20,0.7798664397869433,0.046149043000525976,0.8094728594256685,0.05341063076055947,0.6218496096711952,0.044746463564048294,41.2,6.661752574842528,0.767079942569604,0.05994717952634877
obs_noise,0.1,DynVAR-Lasso,20,0.7918964313669737,0.04402201676602622,0.8231395031843801,0.06150960439421878,0.6413127194585428,0.04789745053295755,39.1,6.789310483554664,0.7935257521092167,0.05817267923592788
obs_noise,0.1,STCG-v1,20,0.8092106829104034,0.04881597407643507,0.8358493242555515,0.05380475321307579,0.6648357784911328,0.05893281404125639,36.4,6.730918448317045,0.8068266491824012,0.060679928962209216
