axis,value,seed,method,timesteps,noise_scale,observation_noise,edge_prob,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density
obs_noise,0.0,0,VAR-Lasso,1000,0.1,0.0,0.18,0.8278168410221232,0.8375,0.6326530612244898,36.0,0.7777777777777778,49.0,0.2916666666666667
obs_noise,0.0,0,DynVAR-Lasso,1000,0.1,0.0,0.18,0.8626307665923513,0.8875,0.6938775510204082,30.0,0.8333333333333334,49.0,0.2916666666666667
obs_noise,0.0,0,STCG-v1,1000,0.1,0.0,0.18,0.9037900874635568,0.9305555555555556,0.7346938775510204,26.0,0.8888888888888888,49.0,0.2916666666666667
obs_noise,0.0,1,VAR-Lasso,1000,0.1,0.0,0.18,0.7774528914879792,0.8536585365853658,0.6296296296296297,40.0,0.7560975609756098,54.0,0.32142857142857145
obs_noise,0.0,1,DynVAR-Lasso,1000,0.1,0.0,0.18,0.7691682910981157,0.8390243902439024,0.6111111111111112,42.0,0.7804878048780488,54.0,0.32142857142857145
obs_noise,0.0,1,STCG-v1,1000,0.1,0.0,0.18,0.7941845354126056,0.8845528455284553,0.6851851851851852,34.0,0.7804878048780488,54.0,0.32142857142857145
obs_noise,0.0,2,VAR-Lasso,1000,0.1,0.0,0.18,0.8242705570291777,0.8703125,0.6923076923076923,32.0,0.725,52.0,0.30952380952380953
obs_noise,0.0,2,DynVAR-Lasso,1000,0.1,0.0,0.18,0.8433355437665783,0.9203125,0.6923076923076923,32.0,0.825,52.0,0.30952380952380953
obs_noise,0.0,2,STCG-v1,1000,0.1,0.0,0.18,0.8575928381962865,0.9,0.7692307692307693,24.0,0.85,52.0,0.30952380952380953
obs_noise,0.0,3,VAR-Lasso,1000,0.1,0.0,0.18,0.7003217404626935,0.79421768707483,0.5901639344262295,50.0,0.6904761904761905,61.0,0.3630952380952381
obs_noise,0.0,3,DynVAR-Lasso,1000,0.1,0.0,0.18,0.770185383790409,0.8486394557823129,0.639344262295082,44.0,0.7857142857142857,61.0,0.3630952380952381
obs_noise,0.0,3,STCG-v1,1000,0.1,0.0,0.18,0.7884173433430366,0.8860544217687075,0.6721311475409836,40.0,0.7619047619047619,61.0,0.3630952380952381
obs_noise,0.0,4,VAR-Lasso,1000,0.1,0.0,0.18,0.8531777956556718,0.8617886178861789,0.7090909090909091,32.0,0.8292682926829268,55.0,0.3273809523809524
obs_noise,0.0,4,DynVAR-Lasso,1000,0.1,0.0,0.18,0.8344328238133548,0.8845528455284553,0.7090909090909091,32.0,0.8780487804878049,55.0,0.3273809523809524
obs_noise,0.0,4,STCG-v1,1000,0.1,0.0,0.18,0.8577634754625905,0.8943089430894309,0.7090909090909091,32.0,0.8292682926829268,55.0,0.3273809523809524
obs_noise,0.0,5,VAR-Lasso,1000,0.1,0.0,0.18,0.8292042657916325,0.8713450292397661,0.6981132075471698,32.0,0.7894736842105263,53.0,0.31547619047619047
obs_noise,0.0,5,DynVAR-Lasso,1000,0.1,0.0,0.18,0.8251025430680886,0.881578947368421,0.6792452830188679,34.0,0.7631578947368421,53.0,0.31547619047619047
obs_noise,0.0,5,STCG-v1,1000,0.1,0.0,0.18,0.8528301886792453,0.8757309941520468,0.7169811320754716,30.0,0.7894736842105263,53.0,0.31547619047619047
obs_noise,0.0,6,VAR-Lasso,1000,0.1,0.0,0.18,0.7845687811831789,0.7351778656126482,0.6086956521739131,36.0,0.7575757575757576,46.0,0.27380952380952384
obs_noise,0.0,6,DynVAR-Lasso,1000,0.1,0.0,0.18,0.7908054169636494,0.8168642951251647,0.6739130434782609,30.0,0.8484848484848485,46.0,0.27380952380952384
obs_noise,0.0,6,STCG-v1,1000,0.1,0.0,0.18,0.8130791161796151,0.7957839262187089,0.6739130434782609,30.0,0.8484848484848485,46.0,0.27380952380952384
obs_noise,0.0,7,VAR-Lasso,1000,0.1,0.0,0.18,0.7699011228422993,0.8263888888888888,0.5686274509803921,44.0,0.6944444444444444,51.0,0.30357142857142855
obs_noise,0.0,7,DynVAR-Lasso,1000,0.1,0.0,0.18,0.7161052455170103,0.7694444444444445,0.5098039215686274,50.0,0.6944444444444444,51.0,0.30357142857142855
obs_noise,0.0,7,STCG-v1,1000,0.1,0.0,0.18,0.6924752807105748,0.7597222222222222,0.49019607843137253,52.0,0.6666666666666666,51.0,0.30357142857142855
obs_noise,0.0,8,VAR-Lasso,1000,0.1,0.0,0.18,0.7123824451410659,0.6998491704374057,0.5172413793103449,56.0,0.717948717948718,58.0,0.34523809523809523
obs_noise,0.0,8,DynVAR-Lasso,1000,0.1,0.0,0.18,0.752037617554859,0.7677224736048266,0.6379310344827587,42.0,0.7692307692307693,58.0,0.34523809523809523
obs_noise,0.0,8,STCG-v1,1000,0.1,0.0,0.18,0.7647335423197492,0.803921568627451,0.6379310344827587,42.0,0.7948717948717948,58.0,0.34523809523809523
obs_noise,0.0,9,VAR-Lasso,1000,0.1,0.0,0.18,0.7142633228840125,0.7573099415204678,0.5689655172413793,50.0,0.6842105263157895,58.0,0.34523809523809523
