dataset,setting,method,n,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_pass_rate,inferred_state_count_distribution,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,kmeans_improvement_mean,kmeans_improvement_std,temporal_coherence_mean,temporal_coherence_std,adjusted_rand_mean,adjusted_rand_std,aligned_accuracy_mean,aligned_accuracy_std,mean_label_purity_mean,mean_label_purity_std,delta_vs_same_alpha_dense_rmse,delta_vs_best_dense_rmse,delta_vs_dynvar_weighted_rmse,meaningfully_beats_same_alpha_dense,meaningfully_beats_best_dense,meaningfully_beats_dynvar_weighted
HydraulicSystems_cooler_condition,auto_k2_min_0.00,Dense Ridge,5,1.0,,,,2,True,0.0,1.0,"{""2"": 5}",0.04644940013362614,0.0,0.1554111584263074,0.0,0.07982692614779191,0.0,0.41728991546905025,6.206335383118183e-17,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.0,0.0,nan,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,Dense Ridge,5,10.0,,,,2,True,0.0,1.0,"{""2"": 5}",0.046670590127118196,0.0,0.15612095111965393,0.0,0.08037952092401655,0.0,0.41947243088335673,6.206335383118183e-17,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.0,0.0007097926933465337,nan,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,Dense Ridge,5,100.0,,,,2,True,0.0,1.0,"{""2"": 5}",0.04726797834190943,0.0,0.156980386286702,0.0,0.08144405078576797,0.0,0.4219199848790695,0.0,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.0,0.0015692278603945953,nan,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,1.0,0.01,1.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.04638746701867529,0.0,0.1555619216154146,0.0,0.07988075323901575,0.0,0.41780307948839895,6.206335383118183e-17,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.00015076318910720032,0.00015076318910720032,0.0,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,1.0,0.01,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.04626145354482729,0.0,0.15626936727999047,0.0,0.08017131174708587,0.0,0.4200149064170081,0.0,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.0008582088536830679,0.0008582088536830679,0.0,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,1.0,0.1,1.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.04639780512558248,0.0,0.15553755670423755,0.0,0.07987269987609921,0.0,0.4177202914303357,0.0,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.0001263982779301509,0.0001263982779301509,0.0,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,1.0,0.1,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.0463483159144035,0.0,0.1558904579322603,0.0,0.08002259323592992,0.0,0.4188418466816771,0.0,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.00047929950595290705,0.00047929950595290705,0.0,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,10.0,0.01,1.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.04658715251629476,0.0,0.15639747883165817,0.0,0.08045510852876125,0.0,0.4203162275977673,6.206335383118183e-17,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.000276527712004232,0.0009863204053507657,0.0,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,10.0,0.01,4.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.04620691668590297,0.0,0.15727285234930924,0.0,0.0808145435651507,0.0,0.4228838884219903,0.0,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.0011519012296553055,0.0018616939230018392,0.0,False,False,False
HydraulicSystems_cooler_condition,auto_k2_min_0.00,DynVAR-Lasso Weighted Ridge,5,10.0,0.1,1.0,1.0,2,True,0.0,1.0,"{""2"": 5}",0.04660194681566256,0.0,0.15636006459643953,0.0,0.08044381286297231,0.0,0.4202030246277625,6.206335383118183e-17,0.04768891698430792,8.505780594455166e-06,0.913560707439232,0.007087205780348871,0.734608419510973,0.006275289357366411,0.9024311183144246,0.0017754377876991,0.9983792544570502,0.0,0.00023911347678559625,0.00094890617013213,0.0,False,False,False
