dataset,seed,label_column,candidate_state_count,inferred_state_count,n_windows,train_windows,test_windows,state_improvement,temporal_coherence,min_cluster_fraction,balance_score,selection_score,label_purity_mean,state_counts,state_mapping,selected,accuracy,balanced_accuracy,macro_f1
AReMActivities_selectK,2,activity,4,4,281,140,141,0.13217496768685164,0.6584697076094811,0.18505338078291814,0.7402135231316725,0.02774554512139636,0.9893238434163701,"{""0"": 52, ""1"": 52, ""2"": 59, ""3"": 118}","{""0"": ""cycling"", ""1"": ""standing"", ""2"": ""walking"", ""3"": ""sitting""}",False,0.5390070921985816,0.45238095238095244,0.3822045808108526
AReMActivities_selectK,2,activity,5,5,281,140,141,0.14827703019584454,0.6726861158019868,0.028469750889679714,0.0,0.0,0.9893238434163701,"{""0"": 123, ""1"": 62, ""2"": 39, ""3"": 49, ""4"": 8}","{""0"": ""sitting"", ""1"": ""walking"", ""2"": ""cycling"", ""3"": ""standing"", ""4"": ""lying""}",False,0.5177304964539007,0.4345238095238095,0.3841880376850018
AReMActivities_selectK,2,activity,6,6,281,140,141,0.16490980151138962,0.5843961275518653,0.042704626334519574,0.0,0.0,0.9893238434163701,"{""0"": 12, ""1"": 71, ""2"": 55, ""3"": 28, ""4"": 96, ""5"": 19}","{""0"": ""cycling"", ""1"": ""sitting"", ""2"": ""walking"", ""3"": ""standing"", ""4"": ""lying"", ""5"": ""cycling""}",False,0.46808510638297873,0.39285714285714285,0.37480909364250065
AReMActivities_selectK,3,activity,1,1,281,140,141,0.0,0.0,1.0,0.0,0.0,0.9893238434163701,"{""0"": 281}","{""0"": ""cycling""}",False,0.1702127659574468,0.14285714285714285,0.04155844155844156
AReMActivities_selectK,3,activity,2,2,281,140,141,0.08087560133963397,0.8286643559050838,0.398576512455516,0.797153024911032,0.03370690587339042,0.9893238434163701,"{""0"": 112, ""1"": 169}","{""0"": ""cycling"", ""1"": ""sitting""}",True,0.3404255319148936,0.2857142857142857,0.14913693901035674
AReMActivities_selectK,3,activity,3,3,281,140,141,0.11023547888907426,0.710892647920328,0.2099644128113879,0.6298932384341637,0.02468097810027195,0.9893238434163701,"{""0"": 59, ""1"": 150, ""2"": 72}","{""0"": ""cycling"", ""1"": ""sitting"", ""2"": ""walking""}",False,0.48936170212765956,0.4107142857142857,0.29859838274932615
AReMActivities_selectK,3,activity,4,4,281,140,141,0.13176676253085767,0.6511233472841929,0.14590747330960854,0.5836298932384342,0.02156541923801461,0.9893238434163701,"{""0"": 41, ""1"": 64, ""2"": 119, ""3"": 57}","{""0"": ""cycling"", ""1"": ""walking"", ""2"": ""lying"", ""3"": ""standing""}",False,0.524822695035461,0.4404761904761905,0.380557685208848
AReMActivities_selectK,3,activity,5,5,281,140,141,0.15018367665776286,0.6576075267573842,0.13523131672597866,0.6761565836298933,0.025833457858316415,0.9893238434163701,"{""0"": 58, ""1"": 38, ""2"": 56, ""3"": 43, ""4"": 86}","{""0"": ""standing"", ""1"": ""lying"", ""2"": ""walking"", ""3"": ""cycling"", ""4"": ""sitting""}",False,0.6170212765957447,0.5178571428571429,0.48210864134137793
AReMActivities_selectK,3,activity,6,6,281,140,141,0.16786722080955696,0.550028493275587,0.03914590747330961,0.0,0.0,0.9893238434163701,"{""0"": 57, ""1"": 94, ""2"": 58, ""3"": 38, ""4"": 23, ""5"": 11}","{""0"": ""walking"", ""1"": ""sitting"", ""2"": ""standing"", ""3"": ""cycling"", ""4"": ""cycling"", ""5"": ""lying""}",False,0.5106382978723404,0.42857142857142855,0.3847090504624751
AReMActivities_selectK,4,activity,1,1,281,140,141,0.0,0.0,1.0,0.0,0.0,0.9893238434163701,"{""0"": 281}","{""0"": ""cycling""}",False,0.1702127659574468,0.14285714285714285,0.04155844155844156
AReMActivities_selectK,4,activity,2,2,281,140,141,0.0808836616474691,0.8425817384370017,0.3914590747330961,0.7829181494661922,0.03366434860740256,0.9893238434163701,"{""0"": 110, ""1"": 171}","{""0"": ""cycling"", ""1"": ""lying""}",True,0.3262411347517731,0.2738095238095238,0.14454014454014455
AReMActivities_selectK,4,activity,3,3,281,140,141,0.11006367464371052,0.713030092208008,0.21708185053380782,0.6512455516014235,0.025554456068740475,0.9893238434163701,"{""0"": 72, ""1"": 148, ""2"": 61}","{""0"": ""walking"", ""1"": ""sitting"", ""2"": ""cycling""}",False,0.5035460992907801,0.4226190476190476,0.3093800539083558
AReMActivities_selectK,4,activity,4,4,281,140,141,0.13111328572884842,0.5800542476244503,0.1494661921708185,0.597864768683274,0.019582561891108595,0.9893238434163701,"{""0"": 112, ""1"": 42, ""2"": 54, ""3"": 73}","{""0"": ""sitting"", ""1"": ""standing"", ""2"": ""cycling"", ""3"": ""walking""}",False,0.524822695035461,0.4404761904761905,0.35784091451902017
AReMActivities_selectK,4,activity,5,5,281,140,141,0.15026959414031835,0.6024205661677636,0.042704626334519574,0.0,0.0,0.9893238434163701,"{""0"": 70, ""1"": 100, ""2"": 12, ""3"": 58, ""4"": 41}","{""0"": ""sitting"", ""1"": ""lying"", ""2"": ""cycling"", ""3"": ""walking"", ""4"": ""cycling""}",False,0.524822695035461,0.4404761904761904,0.3705886153647348
AReMActivities_selectK,4,activity,6,6,281,140,141,0.16759609630169703,0.5937479244718219,0.0711743772241993,0.4270462633451958,0.015137132317074397,0.9893238434163701,"{""0"": 20, ""1"": 22, ""2"": 51, ""3"": 55, ""4"": 31, ""5"": 102}","{""0"": ""cycling"", ""1"": ""lying"", ""2"": ""standing"", ""3"": ""walking"", ""4"": ""cycling"", ""5"": ""lying""}",False,0.5390070921985816,0.4523809523809524,0.388075028419856
