dataset,seed,method,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae,rmse,node_rmse_mean,node_rmse_max
ETTh1,0,Persistence,0.5,0.001,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.001,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.001,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.001,1200,600,9,0.5232704922480963,0.7708945010056393,0.6554276652507164,1.6217199979340957
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.001,1200,600,9,0.5053690520913187,0.7598689249705503,0.6343942621455708,1.6480857130941131
ETTh1,0,Persistence,0.75,0.001,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.001,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.001,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.001,1200,600,14,0.5237815123044565,0.7789325452233431,0.6551908181425757,1.6590590069722324
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.001,1200,600,14,0.5231255517681073,0.7783973437062569,0.6545229870298189,1.659071446696973
ETTh1,0,Persistence,1.0,0.001,1200,600,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.001,1200,600,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.001,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.001,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.001,1200,600,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.003,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.003,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.25,0.003,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.25,0.003,300,150,5,0.5076593269324057,0.7270968119002319,0.6400361708747789,1.4694574389348252
ETTh1,0,STCG-v1 Graph Ridge,0.25,0.003,300,150,5,0.5076593269324057,0.7270968119002319,0.6400361708747789,1.4694574389348252
ETTh1,0,Persistence,0.5,0.003,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.5,0.003,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.5,0.003,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.5,0.003,300,150,9,0.5254603722019697,0.7770973911704293,0.6577501276801664,1.646193348777689
ETTh1,0,STCG-v1 Graph Ridge,0.5,0.003,300,150,9,0.5254603722019697,0.7770973911704293,0.6577501276801664,1.646193348777689
ETTh1,0,Persistence,0.75,0.003,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.75,0.003,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,0.75,0.003,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,0.75,0.003,300,150,14,0.5203306146069736,0.7758235626294063,0.6522268216214497,1.6549460941173828
ETTh1,0,STCG-v1 Graph Ridge,0.75,0.003,300,150,14,0.5203306146069736,0.7758235626294063,0.6522268216214497,1.6549460941173828
ETTh1,0,Persistence,1.0,0.003,300,150,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,1.0,0.003,300,150,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
ETTh1,0,Nonself Dense Ridge,1.0,0.003,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,DynVAR-Lasso Graph Ridge,1.0,0.003,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,STCG-v1 Graph Ridge,1.0,0.003,300,150,18,0.520903788511754,0.7777923460283843,0.6517220561916925,1.6628422285320914
ETTh1,0,Persistence,0.25,0.003,600,300,0,0.269241262267238,0.439274730676546,0.4061337454035368,0.573608722921841
ETTh1,0,Dense Ridge,0.25,0.003,600,300,0,0.26226889010382226,0.4085396524529783,0.3801217388346658,0.5554508338509985
