candidate_state_count,n,selected_count,inferred_state_count_distribution,selection_score_mean,selection_score_std,state_improvement_mean,state_improvement_std,temporal_coherence_mean,temporal_coherence_std,min_cluster_fraction_mean,min_cluster_fraction_std,balance_score_mean,balance_score_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
1,5,0,"{""1"": 5}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.14285714285714285,0.0,0.04155844155844156,0.0
2,5,5,"{""2"": 5}",0.033926827886207496,0.00024568652065446795,0.08089080613042572,1.3340599835065157e-05,0.8429969190131761,0.010223737755740939,0.3943060498220641,0.0029774378168472343,0.7886120996441282,0.0059548756336944685,0.3375886524822695,0.006343455255318537,0.2833333333333333,0.005323971374999505,0.1479625330953787,0.0021536816107594428
3,5,0,"{""3"": 5}",0.023141910574836652,0.0023383838921979734,0.10962398311835826,0.0009428319946056901,0.7148128527847215,0.031313238877335725,0.197153024911032,0.020842064717930705,0.591459074733096,0.06252619415379214,0.4921985815602836,0.01186751810686629,0.41309523809523807,0.009960238411119957,0.3044164576668478,0.008011800569502864
4,5,0,"{""4"": 5}",0.020472797457695275,0.006340280283668761,0.13085410280293636,0.0016828143515938956,0.6282268285937812,0.04323432125831638,0.14519572953736654,0.044547996649924815,0.5807829181494661,0.17819198659969926,0.5021276595744681,0.051729312138469416,0.42142857142857143,0.04341567268764397,0.34997087853657394,0.04370529536771021
5,5,0,"{""5"": 5}",0.005166691571663283,0.011553073573014327,0.15018623467081732,0.0015085534382941904,0.6178803808862388,0.0447370070838752,0.053380782918149475,0.04694272583015274,0.13523131672597866,0.3023864168860926,0.5333333333333333,0.04999874250216899,0.44761904761904764,0.04196323031432042,0.37832904996291844,0.06572139838203109
6,5,0,"{""6"": 5}",0.0030274264634148795,0.0067695313690774505,0.16655932778593902,0.001955983671224269,0.5966842660294689,0.036025248628247644,0.046263345195729534,0.015915074572952242,0.08540925266903916,0.1909808948754269,0.5333333333333333,0.04768152145807549,0.44761904761904764,0.04001841979517049,0.40047623140531086,0.035048257219635316
