dataset,seed,setting,method,ridge_alpha,graph_min_weight,graph_weight_power,graph_self_weight,state_count,auto_states,min_state_improvement,threshold_passed,kmeans_improvement,temporal_coherence,n_windows,true_state_count,inferred_state_count,adjusted_rand,aligned_accuracy,mean_label_purity,true_label_counts,inferred_state_counts,state_mapping,mae,rmse,node_rmse_mean,node_rmse_max
UCIHARWindowSignals,0,auto_k2_min_0.08,Dense Ridge,30.0,,,,2,True,0.08,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.3228103533621915,0.6797916270352214,0.6287594191997212,0.9146757713502421
UCIHARWindowSignals,0,auto_k2_min_0.08,DynVAR-Lasso Weighted Ridge,30.0,0.01,4.0,1.0,2,True,0.08,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k2_min_0.08,STCG-v1 Weighted Ridge,30.0,0.01,4.0,1.0,2,True,0.08,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k2_min_0.08,Dense Ridge,100.0,,,,2,True,0.08,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.3248607761418505,0.6796550916006857,0.6293166483385894,0.9140601928068258
UCIHARWindowSignals,0,auto_k2_min_0.08,DynVAR-Lasso Weighted Ridge,100.0,0.01,4.0,1.0,2,True,0.08,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k2_min_0.08,STCG-v1 Weighted Ridge,100.0,0.01,4.0,1.0,2,True,0.08,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k2_min_0.12,Dense Ridge,30.0,,,,2,True,0.12,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.3228103533621915,0.6797916270352214,0.6287594191997212,0.9146757713502421
UCIHARWindowSignals,0,auto_k2_min_0.12,DynVAR-Lasso Weighted Ridge,30.0,0.01,4.0,1.0,2,True,0.12,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k2_min_0.12,STCG-v1 Weighted Ridge,30.0,0.01,4.0,1.0,2,True,0.12,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k2_min_0.12,Dense Ridge,100.0,,,,2,True,0.12,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.3248607761418505,0.6796550916006857,0.6293166483385894,0.9140601928068258
UCIHARWindowSignals,0,auto_k2_min_0.12,DynVAR-Lasso Weighted Ridge,100.0,0.01,4.0,1.0,2,True,0.12,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k2_min_0.12,STCG-v1 Weighted Ridge,100.0,0.01,4.0,1.0,2,True,0.12,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k2_min_0.16,Dense Ridge,30.0,,,,2,True,0.16,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.3228103533621915,0.6797916270352214,0.6287594191997212,0.9146757713502421
UCIHARWindowSignals,0,auto_k2_min_0.16,DynVAR-Lasso Weighted Ridge,30.0,0.01,4.0,1.0,2,True,0.16,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k2_min_0.16,STCG-v1 Weighted Ridge,30.0,0.01,4.0,1.0,2,True,0.16,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32047097797356,0.6786703965069079,0.6276494479383902,0.9148400937660098
UCIHARWindowSignals,0,auto_k2_min_0.16,Dense Ridge,100.0,,,,2,True,0.16,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.3248607761418505,0.6796550916006857,0.6293166483385894,0.9140601928068258
UCIHARWindowSignals,0,auto_k2_min_0.16,DynVAR-Lasso Weighted Ridge,100.0,0.01,4.0,1.0,2,True,0.16,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,auto_k2_min_0.16,STCG-v1 Weighted Ridge,100.0,0.01,4.0,1.0,2,True,0.16,False,0.06658872264834426,0.0,180,6,1,0.0,0.26666666666666666,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:180,"{""0"": ""STANDING""}",0.32137746963044955,0.6791994171717621,0.6285675260876834,0.9162524931997263
UCIHARWindowSignals,0,forced_k2,Dense Ridge,30.0,,,,2,False,0.0,True,0.06658872264834426,0.0,180,6,2,0.08460879067088627,0.35555555555555557,0.40194444444444444,LAYING:43;SITTING:25;STANDING:48;WALKING:41;WALKING_DOWNSTAIRS:2;WALKING_UPSTAIRS:21,0:56;1:124,"{""0"": ""STANDING"", ""1"": ""LAYING""}",0.3228103533621915,0.6797916270352214,0.6287594191997212,0.9146757713502421
