seed,n_windows,state_count,adjusted_rand,aligned_accuracy,mean_regime_purity,edge_auc,pair_auc,precision_at_k,shd,lag_accuracy,true_edges,edge_density,state_mapping
0,6,2,0.32432432432432434,0.8333333333333334,0.9166666666666666,0.9037900874635568,0.9305555555555556,0.7346938775510204,26.0,0.8888888888888888,49.0,0.2916666666666667,"{""0"": 0, ""1"": 1}"
1,6,2,1.0,1.0,0.9166666666666666,0.7941845354126056,0.8845528455284553,0.6851851851851852,34.0,0.7804878048780488,54.0,0.32142857142857145,"{""0"": 1, ""1"": 0}"
2,6,2,0.32432432432432434,0.8333333333333334,0.9166666666666666,0.8575928381962865,0.9,0.7692307692307693,24.0,0.85,52.0,0.30952380952380953,"{""0"": 0, ""1"": 1}"
3,6,2,0.32432432432432434,0.8333333333333334,0.9166666666666666,0.7884173433430366,0.8860544217687075,0.6721311475409836,40.0,0.7619047619047619,61.0,0.3630952380952381,"{""0"": 1, ""1"": 0}"
4,6,2,1.0,1.0,0.9166666666666666,0.8577634754625905,0.8943089430894309,0.7090909090909091,32.0,0.8292682926829268,55.0,0.3273809523809524,"{""0"": 0, ""1"": 1}"
