config_id,config_rank,selection_objective,stcg_window_size,stcg_window_stride,state_count_distribution,inferred_state_count_distribution,dynamic_feature_nonzero_variance,dataset,label_column,horizon_cycles,lookback_cycles,method,train_rows,validation_rows,test_rows,train_positive_rate,validation_positive_rate,test_positive_rate,train_positives,validation_positives,test_positives,threshold_metric,threshold,validation_threshold_metric,balanced_accuracy,precision,recall,f1,average_precision,roc_auc
stable_L30_W16_S8,0,stable,16,8,1:2172,1:2172,0,HydraulicSystems,valve_condition,3,30,Train Majority,1303,217,652,0.19339984650805833,0.16589861751152074,0.22085889570552147,252,36,144,f1,0.19339984650805833,0.2845849802371542,0.5,0.22085889570552147,1.0,0.36180904522613067,0.22085889570552147,0.5
stable_L30_W16_S8,0,stable,16,8,1:2172,1:2172,0,HydraulicSystems,valve_condition,3,30,Sensor Logistic,1303,217,652,0.19339984650805833,0.16589861751152074,0.22085889570552147,252,36,144,f1,0.2607554527764662,0.3,0.5,0.22085889570552147,1.0,0.36180904522613067,0.22073374400426182,0.4748879046369204
stable_L30_W16_S8,0,stable,16,8,1:2172,1:2172,0,HydraulicSystems,valve_condition,3,30,Graph Ridge Logistic,1303,217,652,0.19339984650805833,0.16589861751152074,0.22085889570552147,252,36,144,f1,0.7756544318708768,0.35555555555555557,0.5230205599300087,0.24630541871921183,0.3472222222222222,0.2881844380403458,0.24198447148887223,0.5463555336832896
stable_L30_W16_S8,0,stable,16,8,1:2172,1:2172,0,HydraulicSystems,valve_condition,3,30,Sensor+Graph Logistic,1303,217,652,0.19339984650805833,0.16589861751152074,0.22085889570552147,252,36,144,f1,0.03391322535642074,0.3425414364640884,0.514763779527559,0.22784810126582278,0.75,0.34951456310679613,0.2506349573362337,0.5565124671916011
stable_L30_W16_S8,0,stable,16,8,1:2172,1:2172,0,HydraulicSystems,valve_condition,3,30,STCG-v1 Selected Logistic,1303,217,652,0.19339984650805833,0.16589861751152074,0.22085889570552147,252,36,144,f1,0.16105297367955643,0.35555555555555557,0.5153652668416449,0.22926829268292684,0.6527777777777778,0.33935018050541516,0.26399153860682834,0.5188784995625547
stable_L30_W16_S8,0,stable,16,8,1:2172,1:2172,0,HydraulicSystems,valve_condition,3,30,Sensor+STCG-v1 Logistic,1303,217,652,0.19339984650805833,0.16589861751152074,0.22085889570552147,252,36,144,f1,0.10630203956195863,0.3583815028901734,0.5308672353455819,0.28440366972477066,0.2152777777777778,0.2450592885375494,0.25077118806895554,0.532056539807524
stable_L30_W16_S8,0,stable,16,8,1:2170,1:2170,0,HydraulicSystems,valve_condition,5,30,Train Majority,1302,217,651,0.3225806451612903,0.2764976958525346,0.3686635944700461,420,60,240,f1,0.3225806451612903,0.4332129963898917,0.5,0.3686635944700461,1.0,0.5387205387205387,0.3686635944700461,0.5
stable_L30_W16_S8,0,stable,16,8,1:2170,1:2170,0,HydraulicSystems,valve_condition,5,30,Sensor Logistic,1302,217,651,0.3225806451612903,0.2764976958525346,0.3686635944700461,420,60,240,f1,0.27868201934777703,0.46153846153846156,0.5,0.3686635944700461,1.0,0.5387205387205387,0.40233128303223675,0.5189274128142741
stable_L30_W16_S8,0,stable,16,8,1:2170,1:2170,0,HydraulicSystems,valve_condition,5,30,Graph Ridge Logistic,1302,217,651,0.3225806451612903,0.2764976958525346,0.3686635944700461,420,60,240,f1,0.6455301312583713,0.5714285714285714,0.5041514598540147,0.3739495798319328,0.37083333333333335,0.3723849372384937,0.3829260865336598,0.5408454987834549
stable_L30_W16_S8,0,stable,16,8,1:2170,1:2170,0,HydraulicSystems,valve_condition,5,30,Sensor+Graph Logistic,1302,217,651,0.3225806451612903,0.2764976958525346,0.3686635944700461,420,60,240,f1,0.28361635192265977,0.5119047619047619,0.5364659367396594,0.3936651583710407,0.725,0.5102639296187683,0.3974220297579066,0.5428426601784266
stable_L30_W16_S8,0,stable,16,8,1:2170,1:2170,0,HydraulicSystems,valve_condition,5,30,STCG-v1 Selected Logistic,1302,217,651,0.3225806451612903,0.2764976958525346,0.3686635944700461,420,60,240,f1,0.12248413796987544,0.5217391304347826,0.5258515815085159,0.3854389721627409,0.75,0.5091937765205092,0.4277497306948905,0.5580798864557988
stable_L30_W16_S8,0,stable,16,8,1:2170,1:2170,0,HydraulicSystems,valve_condition,5,30,Sensor+STCG-v1 Logistic,1302,217,651,0.3225806451612903,0.2764976958525346,0.3686635944700461,420,60,240,f1,0.1876903890098788,0.5291005291005291,0.5257603406326035,0.4217687074829932,0.25833333333333336,0.32041343669250644,0.4311177806268448,0.5685725871857259
