dataset,seed,rank,lag,source,target,source_index,target_index,score
synthetic_switching,2,25,3,x2,x7,2,7,0.11956485611002707
synthetic_switching,2,26,1,x0,x4,0,4,0.11776864312702734
synthetic_switching,2,27,3,x3,x1,3,1,0.11631151981696847
synthetic_switching,2,28,2,x3,x0,3,0,0.11182509965160883
synthetic_switching,2,29,1,x0,x6,0,6,0.11161233430679701
synthetic_switching,2,30,1,x1,x3,1,3,0.11134983745259067
synthetic_switching,3,1,1,x3,x4,3,4,0.31852847145639895
synthetic_switching,3,2,1,x2,x4,2,4,0.25645170894906555
synthetic_switching,3,3,1,x0,x4,0,4,0.2516004958545559
synthetic_switching,3,4,1,x7,x0,7,0,0.17132634189280233
synthetic_switching,3,5,1,x0,x1,0,1,0.16400133569332118
synthetic_switching,3,6,1,x3,x5,3,5,0.16104602624696368
synthetic_switching,3,7,1,x7,x2,7,2,0.15907355305037357
synthetic_switching,3,8,1,x0,x7,0,7,0.15844985911666776
synthetic_switching,3,9,1,x3,x2,3,2,0.1533002649415666
synthetic_switching,3,10,2,x6,x0,6,0,0.15300126033579878
synthetic_switching,3,11,3,x4,x5,4,5,0.14939214264129133
synthetic_switching,3,12,1,x6,x3,6,3,0.14822912888116951
synthetic_switching,3,13,3,x4,x7,4,7,0.14748207089610774
synthetic_switching,3,14,1,x1,x7,1,7,0.14267648999727217
synthetic_switching,3,15,3,x0,x5,0,5,0.1418097369405947
synthetic_switching,3,16,2,x6,x2,6,2,0.14124980614195226
synthetic_switching,3,17,1,x3,x7,3,7,0.14084336914605688
synthetic_switching,3,18,2,x5,x2,5,2,0.13815801727659224
synthetic_switching,3,19,1,x2,x1,2,1,0.13675705685228517
synthetic_switching,3,20,1,x5,x3,5,3,0.12937158402198232
synthetic_switching,3,21,1,x2,x7,2,7,0.12878628691822086
synthetic_switching,3,22,3,x0,x7,0,7,0.12268753376792375
synthetic_switching,3,23,3,x7,x5,7,5,0.11974782237342943
synthetic_switching,3,24,1,x5,x7,5,7,0.11864429562905981
synthetic_switching,3,25,2,x5,x7,5,7,0.11842655461816773
synthetic_switching,3,26,1,x1,x5,1,5,0.11750295433133204
synthetic_switching,3,27,1,x1,x0,1,0,0.11581066254676378
synthetic_switching,3,28,1,x1,x4,1,4,0.11452842224651177
synthetic_switching,3,29,2,x1,x0,1,0,0.1143343170415024
synthetic_switching,3,30,2,x3,x2,3,2,0.1125682474923357
synthetic_switching,4,1,1,x2,x7,2,7,0.401014610597236
synthetic_switching,4,2,3,x7,x5,7,5,0.2360008012836179
synthetic_switching,4,3,1,x7,x4,7,4,0.2340172362192129
synthetic_switching,4,4,1,x6,x3,6,3,0.22628034638822045
synthetic_switching,4,5,1,x0,x2,0,2,0.2107525430855703
synthetic_switching,4,6,2,x2,x5,2,5,0.17661413306565818
synthetic_switching,4,7,1,x3,x4,3,4,0.17048543422199883
synthetic_switching,4,8,2,x3,x7,3,7,0.16698821111555068
synthetic_switching,4,9,1,x6,x4,6,4,0.16695555399693934
synthetic_switching,4,10,3,x4,x2,4,2,0.1529615536285373
synthetic_switching,4,11,1,x0,x7,0,7,0.1525673551752814
synthetic_switching,4,12,3,x3,x1,3,1,0.1513524420205098
synthetic_switching,4,13,2,x2,x7,2,7,0.14923362126724687
synthetic_switching,4,14,1,x0,x3,0,3,0.14782193123706538
