dataset,seed,label_column,candidate_state_count,inferred_state_count,n_windows,train_windows,test_windows,state_improvement,temporal_coherence,min_cluster_fraction,balance_score,selection_score,label_purity_mean,state_counts,state_mapping,selected,accuracy,balanced_accuracy,macro_f1
HydraulicSystems_cooler_selectK,2,cooler_condition,4,4,881,441,440,0.08878007929773016,0.9313787707323973,0.17480136208853575,0.699205448354143,0.024899917064855597,0.9988649262202043,"{""0"": 290, ""1"": 279, ""2"": 154, ""3"": 158}","{""0"": ""100"", ""1"": ""20"", ""2"": ""3"", ""3"": ""3""}",False,0.9568181818181818,0.9567752684191041,0.9567602105274348
HydraulicSystems_cooler_selectK,2,cooler_condition,5,5,881,441,440,0.0989144088221814,0.8303377059698428,0.11691259931895573,0.5845629965947786,0.01857339918849625,0.9988649262202043,"{""0"": 278, ""1"": 132, ""2"": 191, ""3"": 177, ""4"": 103}","{""0"": ""20"", ""1"": ""3"", ""2"": ""100"", ""3"": ""3"", ""4"": ""100""}",False,0.9477272727272728,0.9476428483277798,0.9474380326500942
HydraulicSystems_cooler_selectK,2,cooler_condition,6,6,881,441,440,0.10606956416596167,0.8003909424501559,0.07377979568671963,0.4426787741203178,0.013387032760553426,0.9988649262202043,"{""0"": 151, ""1"": 180, ""2"": 275, ""3"": 90, ""4"": 65, ""5"": 120}","{""0"": ""100"", ""1"": ""3"", ""2"": ""20"", ""3"": ""100"", ""4"": ""100"", ""5"": ""3""}",False,0.9386363636363636,0.9384795754658768,0.9380789410746297
HydraulicSystems_cooler_selectK,3,cooler_condition,1,1,881,441,440,0.0,0.0,1.0,0.0,0.0,0.9988649262202043,"{""0"": 881}","{""0"": ""100""}",False,0.33636363636363636,0.3333333333333333,0.16780045351473924
HydraulicSystems_cooler_selectK,3,cooler_condition,2,2,881,441,440,0.04424122942477014,0.9098158347276446,0.37003405221339386,0.7400681044267877,0.018794612415796576,0.9988649262202043,"{""0"": 555, ""1"": 326}","{""0"": ""100"", ""1"": ""3""}",False,0.6590909090909091,0.6575959521165,0.5401703148182021
HydraulicSystems_cooler_selectK,3,cooler_condition,3,3,881,441,440,0.07323028130969055,0.9403389874209018,0.3314415437003405,0.9943246311010215,0.034235237679889174,0.9988649262202043,"{""0"": 292, ""1"": 297, ""2"": 292}","{""0"": ""20"", ""1"": ""3"", ""2"": ""100""}",True,0.9477272727272728,0.947611995557201,0.9475943219785585
HydraulicSystems_cooler_selectK,3,cooler_condition,4,4,881,441,440,0.08877998719964926,0.9108211089204898,0.14982973893303064,0.5993189557321226,0.020871680252431742,0.9988649262202043,"{""0"": 132, ""1"": 292, ""2"": 177, ""3"": 280}","{""0"": ""3"", ""1"": ""100"", ""2"": ""3"", ""3"": ""20""}",False,0.9613636363636363,0.9613106256941873,0.9611840321222473
HydraulicSystems_cooler_selectK,3,cooler_condition,5,5,881,441,440,0.0988054295248786,0.8649673259666737,0.09648127128263337,0.48240635641316687,0.01594921406923023,0.9988649262202043,"{""0"": 85, ""1"": 158, ""2"": 276, ""3"": 207, ""4"": 155}","{""0"": ""100"", ""1"": ""3"", ""2"": ""20"", ""3"": ""100"", ""4"": ""3""}",False,0.9613636363636363,0.9613106256941872,0.9611974945214342
HydraulicSystems_cooler_selectK,3,cooler_condition,6,6,881,441,440,0.10743458663264355,0.8078428896811249,0.06923950056753689,0.41543700340522133,0.012843366590183824,0.9988649262202043,"{""0"": 142, ""1"": 279, ""2"": 110, ""3"": 61, ""4"": 166, ""5"": 123}","{""0"": ""3"", ""1"": ""20"", ""2"": ""3"", ""3"": ""3"", ""4"": ""100"", ""5"": ""100""}",False,0.9636363636363636,0.9636245834875972,0.9635643845995431
HydraulicSystems_cooler_selectK,4,cooler_condition,1,1,881,441,440,0.0,0.0,1.0,0.0,0.0,0.9988649262202043,"{""0"": 881}","{""0"": ""100""}",False,0.33636363636363636,0.3333333333333333,0.16780045351473924
HydraulicSystems_cooler_selectK,4,cooler_condition,2,2,881,441,440,0.04424122942477014,0.9098158347276446,0.37003405221339386,0.7400681044267877,0.018794612415796576,0.9988649262202043,"{""0"": 555, ""1"": 326}","{""0"": ""100"", ""1"": ""3""}",False,0.6590909090909091,0.6575959521165,0.5387841148941238
HydraulicSystems_cooler_selectK,4,cooler_condition,3,3,881,441,440,0.07323321425471782,0.9403403710357855,0.3314415437003405,0.9943246311010215,0.03423665921069006,0.9988649262202043,"{""0"": 294, ""1"": 292, ""2"": 295}","{""0"": ""20"", ""1"": ""100"", ""2"": ""3""}",True,0.9545454545454546,0.9544613106256943,0.9544767245823135
HydraulicSystems_cooler_selectK,4,cooler_condition,4,4,881,441,440,0.08876022087609299,0.926331146155571,0.13847900113507378,0.5539160045402951,0.019614614997590103,0.9988649262202043,"{""0"": 122, ""1"": 187, ""2"": 284, ""3"": 288}","{""0"": ""3"", ""1"": ""3"", ""2"": ""20"", ""3"": ""100""}",False,0.9590909090909091,0.9590275206713562,0.9590707913159315
HydraulicSystems_cooler_selectK,4,cooler_condition,5,5,881,441,440,0.09753814317575378,0.8347872823350478,0.1623155505107832,0.811577752553916,0.02556384607666006,0.9988649262202043,"{""0"": 275, ""1"": 143, ""2"": 155, ""3"": 150, ""4"": 158}","{""0"": ""20"", ""1"": ""100"", ""2"": ""3"", ""3"": ""100"", ""4"": ""3""}",False,0.9590909090909091,0.9589966679007774,0.9588975258729291
HydraulicSystems_cooler_selectK,4,cooler_condition,6,6,881,441,440,0.10862108330442954,0.8036132989260963,0.07264472190692395,0.4358683314415437,0.013552494473920493,0.9988649262202043,"{""0"": 106, ""1"": 148, ""2"": 267, ""3"": 103, ""4"": 193, ""5"": 64}","{""0"": ""3"", ""1"": ""3"", ""2"": ""20"", ""3"": ""100"", ""4"": ""100"", ""5"": ""3""}",False,0.9590909090909091,0.9589966679007774,0.9587588019785006
