dataset,method,n,graph_fraction,lasso_alpha,window_size,window_stride,feature_budget_per_target,mae_mean,mae_std,rmse_mean,rmse_std,node_rmse_mean_mean,node_rmse_mean_std,node_rmse_max_mean,node_rmse_max_std,delta_vs_dense_rmse,delta_vs_persistence_rmse,beats_dense,beats_persistence
ETTh1,Persistence,1,0.25,0.001,300,150,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.001,600,300,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.001,1200,600,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.003,300,150,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.003,600,300,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.003,1200,600,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.005,300,150,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.005,600,300,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.005,1200,600,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.01,300,150,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
ETTh1,Persistence,1,0.25,0.01,600,300,0,0.269241262267238,0.0,0.439274730676546,0.0,0.4061337454035368,0.0,0.573608722921841,0.0,0.03073507822356769,0.0,False,False
